[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260409-1913.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260409-1935.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260409-2022.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260409-2033.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260409-2130.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260409-2326.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260409-2350.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260410-0027.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260410-0053.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260410-1554.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260410-1557.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260410-1557a.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260410-1600.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260410-1740.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260410-1809.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260410-1906.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260410-1929.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260410-2045.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260411-1421.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260411-1421a.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260411-1424.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260411-1434.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260411-1557.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260412-1055.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260412-1055a.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260412-1055b.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260412-1057.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260412-1102.log | Пользователь: Ghost
[14.04.2026 15:04:28] ОШИБКА УДАЛЕНИЯ: C:\Windows\Temp\DESKTOP-9BDV6A0-20260412-1103.log | Причина: Файл используется системой
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260412-1104.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260412-1104a.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260412-1131.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260412-1330.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260412-1409.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260412-1554.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260412-1619.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260412-1712.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260412-1718.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260412-1837.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260412-2323.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260413-0911.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260413-0914.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260413-0917.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260413-0937.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260413-0956.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260413-1209.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260413-1209a.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260413-1236.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260413-1509.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260413-1813.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260413-1855.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260413-1925.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260414-0848.log | Пользователь: Ghost
